date,open,high,low,close,volume
 2010-03-22,1000.54,1006.95,997.31,1006.17,10994462
 2010-03-23,1006.38,1007.53,998.26,1002.87,10685155
 2010-03-24,1004.16,1013.52,1004.16,1011.79,11610192
 2010-03-25,1009.87,1009.87,1000.87,1003.9,11679203
 2010-03-26,1001,1015.14,997.18,1014.07,10308999
 2010-03-29,1016.72,1022.4,1011.48,1019.88,11877900
 2010-03-30,1019.68,1031.66,1017.66,1031.12,12365417
 2010-03-31,1030.82,1040.76,1028.9,1039.72,13765573
 2010-04-01,1040.55,1057.5,1040.55,1054.31,15753814
 2010-04-02,1054.99,1059.42,1053.27,1056.49,14442620
 2010-04-06,1058.98,1061.07,1051.84,1058.65,12954553
 2010-04-07,1057.57,1068.13,1055,1068.13,13802652
 2010-04-08,1066.87,1076.13,1063.24,1070.3,15019636
 2010-04-09,1070.23,1088.9,1070.23,1088.9,15333265
 2010-04-12,1092.33,1104.68,1092.33,1104.34,18783330
 2010-04-13,1105.37,1107.3,1051.8,1078.14,19683740
 2010-04-14,1075.19,1087.3,1070.8,1087.13,12589675
 2010-04-15,1087.48,1089.94,1062.05,1070.24,12793922
 2010-04-16,1066.11,1081.24,1059.96,1074.78,9201921
 2010-04-19,1066.1,1074.25,1039.25,1039.25,12838568
 2010-04-20,1037.55,1052.64,1023.04,1052.64,12147020
 2010-04-21,1053.68,1089.14,1053.68,1088.06,15281512
 2010-04-22,1087.15,1106.32,1081.63,1096.97,16080898
 2010-04-23,1095.36,1105.53,1082.71,1087.03,14513418
 2010-04-26,1087.33,1096.29,1080.78,1089.87,12594043
 2010-04-27,1085.69,1085.69,1039.36,1059.54,13480423
 2010-04-28,1047.57,1067.18,1041.01,1054.91,10247519
 2010-04-29,1058.08,1064.14,1021.18,1021.35,12164018
 2010-04-30,1015.88,1017.59,972.86,991.13,11628054
 2010-05-04,972.78,999.99,965.66,991.3,7772035
 2010-05-05,981.47,1023.18,978.38,1023.18,10420593
 2010-05-06,1021.67,1027.95,995.65,995.65,11886823
 2010-05-07,972.06,996.78,964.59,977.33,11072160
 2010-05-10,975.26,985.74,932.1,952.75,10160945
 2010-05-11,970.34,974.76,926.85,929.08,10067027
 2010-05-12,921.05,931.06,893.75,905.83,9078256
 2010-05-13,905.9,933.75,893.85,933.75,9511522
 2010-05-14,928.56,947.61,922.83,941.03,9311829
 2010-05-17,929.67,930.83,890.99,890.99,8378043
 2010-05-18,884.33,904.72,869.48,900.99,9801552
 2010-05-19,896.09,920.72,891.24,909.42,9177423
 2010-05-20,902.25,923.33,896.22,898.9,8704216
 2010-05-21,875.04,923.59,869.66,923.59,10408028
 2010-05-24,930.14,963.59,930.14,961.51,14515908
 2010-05-25,956.71,963.82,943.74,952.79,12205686
 2010-05-26,949.89,958.9,943.86,950.69,9280123
 2010-05-27,949.13,971.08,937.96,968.74,11651624
 2010-05-28,976.18,979.84,965.6,972.26,12125969
 2010-05-31,968.49,979.69,947.47,947.47,11454571
 2010-06-01,937.67,946.63,911.43,931.43,11162298
 2010-06-02,927.17,942.9,916.65,942.9,8373520
 2010-06-03,947.53,960.96,940.47,940.47,10858057
 2010-06-04,934.72,952.83,931.89,952.75,9381743
 2010-06-07,934.68,960.52,931.03,958.08,11379108
 2010-06-08,957.99,971.78,956.25,970.47,12819823
 2010-06-09,974.06,992.73,974.06,992.73,14772057
 2010-06-10,989.51,1005.55,986.6,998.42,12892150
 2010-06-11,1001.7,1004.49,989.54,990.22,11205544
 2010-06-17,995.33,999.14,971.44,971.53,10067286
 2010-06-18,966.95,966.95,923.45,929.64,11486004
 2010-06-21,925.72,952.21,911.97,952.21,9795145
 2010-06-22,951.12,964.72,948.7,960.63,9489535
 2010-06-23,956.29,970.15,948.37,961.72,9665930
 2010-06-24,960.98,967.4,955.97,962.02,7592836
 2010-06-25,957.96,958.38,934.48,943.39,8490806
 2010-06-28,942.48,947.44,924.79,929.49,7172232
 2010-06-29,929.01,932.91,879.75,879.98,10804340
 2010-06-30,870.59,871.93,856.65,871.15,8386853
 2010-07-01,869.93,877.57,857.45,857.78,7544066
 2010-07-02,855.47,857.58,814.85,847.99,9523955
 2010-07-05,837.58,850.08,829.38,845.41,6719563
 2010-07-06,843.75,870.98,843.09,869.96,8920841
 2010-07-07,871,881.91,867.2,881.91,8320714
 2010-07-08,884.61,887.94,871.38,880.03,8298440
 2010-07-09,880.26,906.98,872.87,903.94,11444886
 2010-07-12,904.62,913.32,902.63,910.81,11292258
 2010-07-13,904.92,904.92,890.43,899.64,10109949
 2010-07-14,900.34,913.02,897.54,901.96,9494507
 2010-07-15,900.07,908.59,881.53,881.69,8459407
 2010-07-16,876.87,885.66,865.05,883.01,7451644
 2010-07-19,875.8,905.17,871.52,903.45,9720626
 2010-07-20,904.41,931.92,904.41,931.92,15317545
 2010-07-21,932.65,945.15,929.17,932.65,14881274
 2010-07-22,930.09,945.63,928.2,945.63,13416762
 2010-07-23,946.37,948.46,935.91,947.42,12883747
 2010-07-26,948.6,960.19,944.34,960.19,12862402
 2010-07-27,958.28,965.33,953.31,961.39,12196899
 2010-07-28,959.38,982.94,957.76,982.78,16598709
 2010-07-29,984.97,988.32,974.19,984.33,16271154
 2010-07-30,981.96,985.65,971.78,983.09,13634466
 2010-08-02,983.46,1003.52,983.46,1003.52,15921937
 2010-08-03,1005.25,1006.57,986.25,986.25,16606222
 2010-08-04,982.06,993.29,970.21,993.29,14233515
 2010-08-05,993.2,1009.18,991.01,1001.25,15774286
 2010-08-06,1000.89,1022.27,994.38,1022.23,16937876
 2010-08-09,1022.97,1038.58,1022.97,1038.01,17295470
 2010-08-10,1038.1,1039.31,1002.41,1002.41,18310052
 2010-08-11,998.33,1016.3,997.83,1015.15,12601100
 2010-08-12,1004.96,1022.18,1000.4,1007.4,14554100
 2010-08-13,1006.91,1027.76,1002.33,1027.76,13042312
 2010-08-16,1028.38,1055.33,1026.55,1053.49,16966818
 2010-08-17,1057.43,1068.77,1055.04,1065.4,17423844
 2010-08-18,1066.03,1072.39,1054.6,1067.52,16334389
 2010-08-19,1067.37,1075.71,1060.05,1068.29,17318918
 2010-08-20,1063.56,1063.56,1038.2,1041.79,15510198
 2010-08-23,1040.35,1053.91,1040.35,1049.61,13912478
 2010-08-24,1048.5,1069.27,1041.93,1064.08,15174291
 2010-08-25,1059.96,1064.32,1043.88,1044.49,13887340
 2010-08-26,1045.45,1058.04,1043.6,1052.76,13091747
 2010-08-27,1051.73,1066.67,1048.86,1066.49,11655590
 2010-08-30,1072.2,1099.27,1072.2,1098.83,16950100
 2010-08-31,1096.11,1115.74,1093.19,1111.28,19536172
 2010-09-01,1112.01,1117.3,1081.94,1097.24,21269316
 2010-09-02,1103.02,1117.71,1098.23,1115.27,19206580
 2010-09-03,1118.11,1124.89,1106.78,1120.89,19964644
 2010-09-06,1124.44,1127.88,1105.37,1111.71,19021566
 2010-09-07,1110.34,1117.33,1102.26,1117.16,15245215
 2010-09-08,1114.13,1130.04,1110.6,1130.04,15656327
 2010-09-09,1132.43,1135.94,1113.56,1115.54,19090424
 2010-09-10,1115.32,1130.77,1103.79,1129.86,17122300
 2010-09-13,1131.02,1151.64,1127.77,1151.11,17893236
 2010-09-14,1153.1,1163.7,1150.16,1157.75,18838540
 2010-09-15,1157.64,1157.81,1132.1,1136.17,16891572
 2010-09-16,1133.69,1137.79,1094.9,1106.96,16617382
 2010-09-17,1107.58,1115.26,1098.7,1106.85,12194442
 2010-09-20,1107.69,1110.29,1088.57,1096.62,10793283
 2010-09-21,1098.38,1103.79,1089.61,1096.46,8739904
 2010-09-27,1100.9,1124.5,1100.9,1124.37,9941305
 2010-09-28,1122.74,1127.89,1116.93,1119.41,10967896
 2010-09-29,1118.61,1123.18,1101.89,1105.97,11017187
 2010-09-30,1100.68,1122.25,1097.35,1122.1,9023485
 2010-10-08,1131.16,1153.26,1131.16,1148.22,13094094
 2010-10-11,1152.51,1154.33,1133.08,1143.38,19375532
 2010-10-12,1139.88,1145.06,1134.29,1144.95,17438518
 2010-10-13,1143.54,1151.33,1130.43,1151.21,19612956
