date,open,high,low,close,volume
 1991-04-03,988.05,988.05,988.05,988.05,1
 1991-04-04,983.11,983.11,983.11,983.11,523
 1991-04-05,978.27,978.27,978.27,978.27,107
 1991-04-06,973.42,973.42,973.42,973.42,102
 1991-04-08,968.57,968.57,968.57,968.57,57
 1991-04-09,963.73,963.73,963.73,963.73,19
 1991-04-10,958.88,958.88,958.88,958.88,45
 1991-04-11,954.03,954.03,954.03,954.03,45
 1991-04-12,949.31,949.31,949.31,949.31,68
 1991-04-13,944.58,944.58,944.58,944.58,30
 1991-04-15,939.98,939.98,939.98,939.98,50
 1991-04-16,935.38,935.38,935.38,935.38,22
 1991-04-17,930.78,930.78,930.78,930.78,21
 1991-04-18,926.18,926.18,926.18,926.18,14
 1991-04-19,921.58,921.58,921.58,921.58,17
 1991-04-20,916.98,916.98,916.98,916.98,5
 1991-04-22,912.38,912.38,912.38,912.38,0
 1991-04-23,907.78,907.78,907.78,907.78,48
 1991-04-24,903.31,903.31,903.31,903.31,46
 1991-04-25,898.84,898.84,898.84,898.84,50
 1991-04-26,894.36,894.36,894.36,894.36,53
 1991-04-27,889.89,889.89,889.89,889.89,20
 1991-04-29,885.43,885.43,885.43,885.43,49
 1991-04-30,880.98,880.98,880.98,880.98,142
 1991-05-02,876.57,876.57,876.57,876.57,72
 1991-05-03,872.16,872.16,872.16,872.16,78
 1991-05-04,867.75,867.75,867.75,867.75,162
 1991-05-06,863.35,863.35,863.35,863.35,124
 1991-05-07,859.06,859.06,859.06,859.06,102
 1991-05-08,854.78,854.78,854.78,854.78,309
 1991-05-09,850.5,850.5,850.5,850.5,450
 1991-05-10,846.22,846.22,846.22,846.22,700
 1991-05-11,841.94,841.94,841.94,841.94,686
 1991-05-13,837.66,837.66,837.66,837.66,1554
 1991-05-14,834.44,835.01,833.38,835.01,3160
 1991-05-15,832.36,832.54,832.36,832.54,3957
 1991-05-16,830.06,830.06,830.06,830.06,5918
 1991-05-17,827.72,827.72,827.72,827.72,9014
 1991-05-18,825.37,825.37,825.2,825.2,4180
 1991-05-20,822.67,822.67,822.67,822.67,5631
 1991-05-21,820.15,820.15,820.15,820.15,3708
 1991-05-22,817.63,817.63,817.63,817.63,4533
 1991-05-23,814.16,815.22,813.59,813.59,3267
 1991-05-24,809.56,809.56,809.56,809.56,1008
 1991-05-25,805.52,805.52,805.52,805.52,435
 1991-05-27,801.48,801.48,801.48,801.48,1320
 1991-05-28,797.98,797.98,797.98,797.98,178
 1991-05-29,794.61,794.61,794.61,794.61,136
 1991-05-30,791.23,791.23,791.23,791.23,204
