,close,date,high,low,open,volume
0,2477.937,2006-12-27 00:00:00,2494.252,2464.135,2468.842,171265221.0
1,2443.685,2006-12-28 00:00:00,2487.712,2423.616,2478.915,191825246.0
2,2495.75,2006-12-29 00:00:00,2508.855,2447.2,2448.263,185940213.0
3,2477.936,2007-01-04 00:00:00,2537.708,2474.444,2511.61,223891376.0
4,2559.179,2007-01-05 00:00:00,2560.565,2465.627,2474.257,191899520.0
5,2617.341,2007-01-08 00:00:00,2617.341,2564.369,2565.493,249652591.0
6,2645.413,2007-01-09 00:00:00,2658.5,2615.566,2626.812,269119955.0
7,2691.957,2007-01-10 00:00:00,2691.957,2630.972,2650.884,289917695.0
8,2710.245,2007-01-11 00:00:00,2763.835,2680.179,2694.555,339047249.0
9,2642.915,2007-01-12 00:00:00,2732.862,2638.848,2697.088,260103277.0
10,2788.162,2007-01-15 00:00:00,2789.042,2640.138,2640.138,235333341.0
11,2912.615,2007-01-16 00:00:00,2912.945,2798.682,2802.862,312257559.0
12,2901.133,2007-01-17 00:00:00,3017.639,2816.043,2920.064,398245218.0
13,3016.534,2007-01-18 00:00:00,3019.212,2887.105,2897.832,339266034.0
14,3163.434,2007-01-19 00:00:00,3164.139,3032.499,3032.499,415349106.0
15,3336.231,2007-01-22 00:00:00,3336.746,3217.485,3225.062,435453051.0
16,3265.781,2007-01-23 00:00:00,3359.256,3202.554,3345.941,367080032.0
17,3295.219,2007-01-24 00:00:00,3305.735,3202.038,3253.435,296050278.0
18,3161.82,2007-01-25 00:00:00,3272.39,3155.073,3272.39,305768995.0
19,3170.801,2007-01-26 00:00:00,3190.937,3013.121,3112.566,252753849.0
20,3219.129,2007-01-29 00:00:00,3232.549,3155.397,3167.112,271120588.0
21,3268.626,2007-01-30 00:00:00,3290.836,3207.98,3230.072,264701273.0
22,3115.508,2007-01-31 00:00:00,3278.573,3074.186,3260.397,267471206.0
23,3167.756,2007-02-01 00:00:00,3174.666,3049.887,3094.097,217594807.0
24,3123.302,2007-02-02 00:00:00,3175.416,3112.91,3162.052,188682324.0
25,3110.764,2007-02-05 00:00:00,3137.224,3070.846,3105.708,158122079.0
26,3115.248,2007-02-06 00:00:00,3115.248,3026.054,3094.416,182065752.0
27,3132.304,2007-02-07 00:00:00,3163.126,3108.215,3117.265,199279098.0
28,3154.178,2007-02-08 00:00:00,3154.178,3113.66,3135.803,204872692.0
29,3160.815,2007-02-09 00:00:00,3170.038,3134.89,3149.363,173540059.0
30,3257.636,2007-02-12 00:00:00,3258.909,3150.648,3161.573,215532556.0
31,3300.406,2007-02-13 00:00:00,3300.406,3250.004,3267.197,214982708.0
32,3341.433,2007-02-14 00:00:00,3347.973,3298.072,3303.247,257859618.0
33,3414.756,2007-02-15 00:00:00,3418.777,3345.898,3345.898,273506043.0
34,3435.498,2007-02-16 00:00:00,3474.31,3414.681,3433.669,294536489.0
35,3464.66,2007-02-26 00:00:00,3464.66,3398.119,3435.853,296893167.0
36,3139.107,2007-02-27 00:00:00,3464.065,3137.367,3462.174,415886068.0
37,3215.032,2007-02-28 00:00:00,3219.409,3116.102,3121.709,312695783.0
38,3139.165,2007-03-01 00:00:00,3228.995,3096.898,3228.995,324779641.0
39,3195.723,2007-03-02 00:00:00,3216.669,3143.005,3143.005,246386914.0
40,3207.995,2007-03-05 00:00:00,3250.261,3128.245,3200.532,297213667.0
41,3232.528,2007-03-06 00:00:00,3243.518,3174.554,3199.573,197368476.0
42,3338.197,2007-03-07 00:00:00,3343.781,3237.139,3237.139,207446324.0
43,3399.853,2007-03-08 00:00:00,3399.853,3318.916,3346.079,239064635.0
44,3371.5,2007-03-09 00:00:00,3412.592,3352.057,3402.32,261829159.0
45,3408.052,2007-03-12 00:00:00,3421.37,3345.325,3385.366,282867384.0
46,3406.635,2007-03-13 00:00:00,3418.294,3385.696,3411.425,275157125.0
47,3382.127,2007-03-14 00:00:00,3403.512,3294.224,3384.745,307090506.0
48,3459.128,2007-03-15 00:00:00,3459.128,3379.051,3379.051,316055611.0
49,3434.557,2007-03-16 00:00:00,3479.94,3376.072,3472.42,329855799.0
50,3453.37,2007-03-19 00:00:00,3470.625,3308.783,3328.389,269680742.0
51,3482.403,2007-03-20 00:00:00,3488.832,3437.673,3456.339,242702914.0
52,3514.256,2007-03-21 00:00:00,3514.256,3467.582,3494.079,254668747.0
53,3527.463,2007-03-22 00:00:00,3560.881,3517.674,3519.444,289687799.0
54,3593.692,2007-03-23 00:00:00,3593.692,3498.997,3528.575,282403098.0
55,3661.303,2007-03-26 00:00:00,3661.967,3603.663,3603.663,321976268.0
56,3656.768,2007-03-27 00:00:00,3665.518,3624.572,3663.63,322668684.0
57,3633.349,2007-03-28 00:00:00,3670.976,3512.366,3662.557,409448650.0
58,3590.68,2007-03-29 00:00:00,3647.208,3568.018,3630.78,333845327.0
59,3626.059,2007-03-30 00:00:00,3632.105,3554.545,3581.368,229727354.0
60,3682.548,2007-04-02 00:00:00,3682.595,3617.235,3639.899,229589869.0
61,3742.04,2007-04-03 00:00:00,3742.04,3671.25,3685.805,227535190.0
62,3755.025,2007-04-04 00:00:00,3760.591,3718.784,3745.468,278633477.0
63,3786.94,2007-04-05 00:00:00,3786.94,3730.042,3756.003,262289749.0
64,3850.879,2007-04-06 00:00:00,3850.879,3754.513,3779.099,276492033.0
65,3899.036,2007-04-09 00:00:00,3902.704,3864.28,3864.28,314146147.0
