date,open,high,low,close,volume
 2006-05-29,1378.48,1408,1370.64,1407.43,24074742
 2006-05-30,1417.14,1419.28,1398.97,1411.5,21423300
 2006-05-31,1410.37,1415.19,1385.59,1395.47,22587566
 2006-06-01,1393.58,1426.23,1390.02,1425.94,25975864
 2006-06-02,1427.2,1429.62,1399.59,1407.81,29852110
 2006-06-05,1406.83,1418.69,1378.41,1418.53,27768558
 2006-06-06,1416.03,1434.27,1407.17,1419.21,24766170
 2006-06-07,1419.4,1419.4,1346.09,1346.63,27647752
 2006-06-08,1337.94,1359.89,1317.88,1354.23,23383904
 2006-06-09,1350.56,1358.18,1324.19,1325.58,18497576
 2006-06-12,1314.61,1341.81,1307.1,1330.54,13297751
 2006-06-13,1328.45,1341.46,1315.01,1326.06,13703582
 2006-06-14,1319.61,1319.61,1297.42,1309.95,12999954
 2006-06-15,1309.73,1325.35,1306.57,1311.62,9997939
 2006-06-16,1316.4,1342.95,1316.4,1342.94,13205918
 2006-06-19,1331.03,1364.89,1319.29,1357.38,14086785
 2006-06-20,1355.93,1364.71,1347.53,1359.94,12808580
 2006-06-21,1358.9,1366.62,1338.77,1354.4,15218809
 2006-06-22,1353.47,1364.85,1349.19,1353.51,12558972
 2006-06-23,1350.57,1361.18,1341.54,1359.36,11782922
 2006-06-26,1361.7,1387.74,1361.7,1387.55,15478371
 2006-06-27,1389.38,1394.26,1378.96,1387.68,12999277
 2006-06-28,1385.08,1391.44,1377.35,1387.64,13309040
 2006-06-29,1389.51,1422.42,1389.51,1421.07,22046828
 2006-06-30,1428.19,1435.12,1409.2,1418.34,18885004
 2006-07-03,1423.63,1447.39,1420.23,1447.39,20004860
 2006-07-04,1449.98,1451.3,1421.64,1430.95,20039336
 2006-07-05,1429.77,1429.77,1395.6,1409.15,16000568
 2006-07-06,1407.01,1430.21,1405.58,1430.04,14162816
 2006-07-07,1432.75,1435.98,1413.87,1418.3,14421536
 2006-07-10,1418.28,1421.4,1405.9,1419.6,12216388
 2006-07-11,1421.1,1422.53,1410.85,1419.96,12187363
 2006-07-12,1419.94,1429.4,1416.44,1419.83,15156155
 2006-07-13,1417.24,1418.69,1352.05,1355.14,22401708
 2006-07-14,1344.16,1374.96,1337.12,1365.41,14868526
 2006-07-17,1362.09,1377.38,1355.35,1376.18,10259655
 2006-07-18,1375.83,1375.83,1363.56,1374.76,9741915
 2006-07-19,1371.49,1371.69,1334.46,1340.13,11139788
 2006-07-20,1338.66,1349.87,1333.04,1348.22,8104488
 2006-07-21,1348.13,1362.08,1347.64,1360.78,9049544
 2006-07-24,1345.06,1362.96,1334.64,1361.39,9336914
 2006-07-25,1362.73,1378.83,1362.73,1374.29,9763184
 2006-07-26,1377.07,1380.4,1368.84,1373.32,8478139
 2006-07-27,1372.84,1380.48,1351.84,1358.63,10604019
 2006-07-28,1358.31,1361.66,1332.73,1343.46,9562217
 2006-07-31,1341.24,1342.39,1301.37,1302.74,10571066
 2006-08-01,1300.77,1310.26,1289.14,1292.38,8116088
 2006-08-02,1292.45,1299,1272.36,1287.19,8668978
 2006-08-03,1289.03,1292.77,1275.87,1286.83,6374538
 2006-08-04,1287.61,1294.11,1262.24,1264.86,7615638
 2006-08-07,1256.75,1264.67,1245.42,1248.02,7541774
 2006-08-08,1248.41,1272.22,1248.41,1272.22,7272705
 2006-08-09,1273.96,1276.54,1265.44,1269.55,5931129
 2006-08-10,1269.42,1290.91,1269.26,1290.82,9682470
 2006-08-11,1291.76,1294.31,1283.21,1291.45,7263791
 2006-08-14,1291.32,1297.74,1265.18,1269.42,7769121
 2006-08-15,1266.61,1288.45,1264.57,1288.43,7064556
 2006-08-16,1289.78,1304.05,1284.85,1304.03,10517994
 2006-08-17,1300.71,1300.71,1284.76,1291.69,6773545
 2006-08-18,1290.16,1300.91,1285.82,1288.21,6684343
 2006-08-21,1259.62,1288.61,1254.07,1288.4,6556772
 2006-08-22,1287.81,1307.16,1287.47,1303.41,7602278
 2006-08-23,1302.91,1315.07,1302.91,1307.06,9225378
 2006-08-24,1306.53,1313.45,1297.01,1313.45,6992652
 2006-08-25,1314.82,1321.24,1312.36,1315.34,8340881
 2006-08-28,1318.47,1345.68,1318.47,1345.68,12451695
 2006-08-29,1347.55,1366.53,1345.16,1349.46,14460255
 2006-08-30,1346.86,1354.4,1340.12,1352.33,8223977
 2006-08-31,1353.24,1359.75,1348.35,1354.13,10097776
 2006-09-01,1354.1,1355.47,1331.6,1334.35,11193200
 2006-09-04,1332.4,1352.95,1332.32,1352.95,9166048
 2006-09-05,1355.85,1363.16,1350.96,1356.04,12720284
 2006-09-06,1356.5,1360.35,1347.15,1360.26,10118477
 2006-09-07,1362.18,1362.18,1339.87,1343.76,11083273
 2006-09-08,1343.62,1350.16,1341.01,1348.49,7973495
 2006-09-11,1348.98,1358.74,1339.37,1358.71,10450357
 2006-09-12,1358.92,1373.09,1357.63,1369.6,16234803
 2006-09-13,1370.79,1386.4,1366.33,1367.07,20899248
 2006-09-14,1368.24,1376.45,1354.77,1367.11,12297098
 2006-09-15,1367.48,1397.59,1367.46,1397.23,24142538
 2006-09-18,1403.78,1408.84,1396.33,1405.34,17976940
 2006-09-19,1407.75,1417.45,1401.88,1408.08,13022244
 2006-09-20,1405.88,1411.04,1394.57,1407,12003177
 2006-09-21,1406.28,1422.8,1406.28,1416.58,13801392
 2006-09-22,1420.19,1425.55,1401.07,1402.34,14876323
 2006-09-25,1400.2,1411.15,1389.56,1399.31,12039535
 2006-09-26,1397.98,1399.38,1376.61,1382.32,10101678
 2006-09-27,1381.16,1395.16,1377.47,1394.97,8068753
 2006-09-28,1395.83,1412.44,1391.73,1410.75,10484037
 2006-09-29,1412.76,1429.7,1412.67,1427.97,14029038
 2006-10-09,1447.99,1466.48,1445.31,1465.97,23154966
 2006-10-10,1467.41,1474.78,1455.73,1462.92,20445816
 2006-10-11,1462.57,1466.23,1448.8,1462.12,16680161
 2006-10-12,1462.87,1467.62,1452.14,1456.51,20685724
 2006-10-13,1454.78,1468.14,1451.2,1461.68,15498331
 2006-10-16,1462.95,1465.2,1442.73,1446.05,13971379
 2006-10-17,1443.02,1451.43,1434.05,1437.94,11634673
 2006-10-18,1437.69,1464.49,1437.14,1464.49,12164846
 2006-10-19,1466.01,1473.89,1461.31,1465.97,11613685
 2006-10-20,1467.6,1478.65,1465.21,1470.24,12770957
 2006-10-23,1469.26,1476.98,1439.83,1444.71,14902376
 2006-10-24,1444.51,1478.78,1444.51,1478.58,13979277
 2006-10-25,1481.9,1506.08,1479.32,1490.39,18501924
 2006-10-26,1490.86,1508.7,1479.81,1508.1,26072184
 2006-10-27,1508.17,1515.05,1488.87,1494.94,23850292
 2006-10-30,1492.55,1505.13,1487.77,1505.06,21412616
 2006-10-31,1506.65,1527.57,1506.65,1527.19,23052332
 2006-11-01,1528.6,1543.14,1525.61,1543.01,24138406
 2006-11-02,1545.25,1547.16,1526.7,1541.88,26611724
 2006-11-03,1544.73,1564.04,1543.53,1552.36,25037848
 2006-11-06,1540.8,1585.86,1535.3,1585.63,26376284
 2006-11-07,1592.76,1601.9,1574.4,1601.59,26406960
 2006-11-08,1596.63,1598,1578.85,1580.51,17992572
 2006-11-09,1574.88,1621.45,1572,1617.15,22718248
 2006-11-10,1618.24,1640.97,1591.27,1604.33,38436408
 2006-11-13,1598.92,1618.55,1570.46,1581.19,27447902
 2006-11-14,1581.4,1600.68,1556.47,1600.43,24843780
 2006-11-15,1601.4,1650.45,1598.2,1650.17,27961272
 2006-11-16,1656.07,1686.09,1651.38,1653.85,42876116
 2006-11-17,1646.39,1686.64,1638.37,1686.13,30661560
 2006-11-20,1693.68,1735.04,1693.68,1734.94,37013712
 2006-11-21,1732.45,1753.41,1703.63,1753.39,32462454
 2006-11-22,1749.14,1784.12,1735.71,1763.68,38146260
 2006-11-23,1763.85,1789.21,1758.58,1777.4,35108560
 2006-11-24,1769.65,1773.71,1747.55,1768.85,31419524
 2006-11-27,1761.6,1776.02,1753.12,1776.02,29183756
 2006-11-28,1773.35,1780.56,1746.7,1762.31,27336128
 2006-11-29,1730.3,1792.8,1718.39,1783.85,26106144
 2006-11-30,1788.81,1842.72,1788.81,1842.42,34020696
 2006-12-01,1847.12,1869.35,1842.15,1853.14,31082426
 2006-12-04,1853.94,1915.69,1853.42,1915.5,42304508
 2006-12-05,1920.75,1955.37,1916.57,1932.42,38425112
 2006-12-06,1933.67,1953.74,1857.27,1923.08,47729004
 2006-12-07,1919.01,1984.54,1916.29,1930.66,52201068
 2006-12-08,1903.95,1933.27,1860.43,1862.52,41922716
 2006-12-11,1854.88,1955.26,1854.88,1954.88,32184812
 2006-12-12,1965.18,1994.49,1939.4,1976.02,39058196
 2006-12-13,1979.83,1990.69,1948.89,1974.46,31616508
 2006-12-14,1978.71,2007.31,1973.55,2007.17,27994086
 2006-12-15,2014.62,2038.2,1998.66,2037.88,27810904
 2006-12-18,2044.41,2096.55,2044.41,2095.28,37321148
 2006-12-19,2105.85,2123.65,2060.59,2097.58,40363380
 2006-12-20,2086.58,2108.36,2063.37,2107.78,29533938
 2006-12-21,2107.08,2117.71,2073.94,2076.02,32976070
 2006-12-22,2064.07,2089.04,2047.46,2062.44,26038904
 2006-12-25,2067.25,2144.87,2067.25,2120.31,36696760
 2006-12-26,2123.02,2153.28,2098.66,2126.11,37850344
 2006-12-27,2129.33,2183.12,2128.97,2182.57,38281472
 2006-12-28,2188.87,2228.27,2171.21,2186.54,42242848
 2006-12-29,2203.94,2285.8,2203.94,2270.52,50873888
 2007-01-04,2313.01,2406.14,2288.2,2304.24,72474592
 2007-01-05,2281.69,2319.52,2255.1,2287.86,61636524
 2007-01-08,2286.23,2343.54,2281.86,2341.2,50316912
 2007-01-09,2344.58,2429.5,2335.66,2428.57,48184736
 2007-01-10,2443.99,2482.92,2417.84,2482.9,48249724
 2007-01-11,2482.54,2512.06,2442.64,2449,45359856
 2007-01-12,2431.89,2469.97,2375.12,2394.84,42334156
 2007-01-15,2391.39,2519.49,2391.39,2518.63,38876540
 2007-01-16,2547.35,2583.84,2524.6,2583,43378044
 2007-01-17,2588.63,2626.78,2487.36,2530.5,47608244
 2007-01-18,2508.39,2535.01,2440.65,2517.87,43203200
 2007-01-19,2517.13,2594.07,2517.13,2593.31,41889316
 2007-01-22,2621.22,2692.51,2621.22,2691.85,49884568
 2007-01-23,2709.97,2720.71,2612.19,2710.85,54809272
 2007-01-24,2712.19,2782.28,2697.28,2751.58,47146220
 2007-01-25,2724.47,2760.44,2674.47,2680.21,43809108
 2007-01-26,2641.04,2768.46,2585.04,2753.97,42702376
 2007-01-29,2771.99,2836.8,2763.34,2815.16,47678480
 2007-01-30,2826.92,2846.07,2765.46,2787.02,44913416
 2007-01-31,2779.2,2781.7,2577.57,2598.93,47580232
 2007-02-01,2557.37,2617.9,2510.15,2601.34,35520272
 2007-02-02,2600.02,2606.26,2472.43,2480.8,33343280
 2007-02-05,2462.93,2481.18,2409.8,2427.58,26872336
 2007-02-06,2422.86,2477.92,2325.43,2476.32,43257072
 2007-02-07,2492.05,2568.9,2492.05,2535.67,41860088
 2007-02-08,2542.84,2576.16,2512.36,2569.78,32485312
 2007-02-09,2572.51,2574.97,2522.77,2545.34,30187266
 2007-02-12,2545.37,2648.03,2542.6,2647.67,30415588
