,close,date,high,low,open,volume
0,991.22,2000-05-09 00:00:00,1000.17,988.24,996.69,186858600.0
1,984.1,2000-05-10 00:00:00,989.9,978.64,988.91,207457200.0
2,977.65,2000-05-11 00:00:00,983.77,973.01,980.63,148704500.0
3,977.98,2000-05-12 00:00:00,981.12,973.01,976.32,119261600.0
4,973.34,2000-05-15 00:00:00,977.31,969.04,975.33,144646600.0
5,976.49,2000-05-16 00:00:00,977.31,968.7,974.0,97168900.0
6,975.66,2000-05-17 00:00:00,978.97,970.69,974.5,85423800.0
7,987.58,2000-05-18 00:00:00,987.91,971.02,976.16,198091800.0
8,984.77,2000-05-19 00:00:00,987.25,977.98,984.44,139427800.0
9,990.07,2000-05-22 00:00:00,993.38,979.47,982.78,230324800.0
10,982.78,2000-05-23 00:00:00,987.25,976.49,985.59,152687200.0
11,987.25,2000-05-24 00:00:00,987.75,975.33,980.79,270219600.0
12,989.57,2000-05-25 00:00:00,989.9,980.79,986.59,201864400.0
13,1001.99,2000-05-26 00:00:00,1003.81,983.44,988.57,560476700.0
14,998.18,2000-05-29 00:00:00,1004.31,991.39,1002.98,273424400.0
15,993.54,2000-05-30 00:00:00,999.17,987.91,997.52,239877000.0
16,991.89,2000-05-31 00:00:00,993.54,984.27,990.73,175103400.0
17,990.73,2000-06-01 00:00:00,992.05,984.27,990.07,126554800.0
18,992.05,2000-06-02 00:00:00,992.38,981.95,986.92,180275000.0
19,1006.79,2000-06-05 00:00:00,1016.56,983.44,991.39,886313900.0
20,1003.97,2000-06-06 00:00:00,1007.29,996.03,1005.3,292823200.0
21,1004.97,2000-06-07 00:00:00,1005.8,996.52,1002.48,205180000.0
22,1003.81,2000-06-08 00:00:00,1004.97,995.86,1003.31,320176900.0
23,999.5,2000-06-09 00:00:00,1003.48,992.71,1001.16,217583600.0
24,995.2,2000-06-12 00:00:00,998.84,989.07,997.19,131913900.0
25,1001.16,2000-06-13 00:00:00,1002.82,990.4,994.54,221665900.0
26,1000.99,2000-06-14 00:00:00,1002.82,993.54,1000.5,163487300.0
27,997.02,2000-06-15 00:00:00,1000.33,992.22,998.34,221239600.0
28,996.36,2000-06-16 00:00:00,997.52,990.4,995.36,177040800.0
29,992.22,2000-06-19 00:00:00,995.7,984.77,993.71,171779100.0
30,990.73,2000-06-20 00:00:00,990.73,984.27,989.07,145480400.0
31,991.22,2000-06-21 00:00:00,992.55,983.94,988.41,109068000.0
32,992.88,2000-06-22 00:00:00,994.2,986.75,991.89,120321100.0
33,997.19,2000-06-23 00:00:00,999.67,986.59,991.39,162703400.0
34,997.19,2000-06-26 00:00:00,998.84,990.73,996.69,177814100.0
35,997.85,2000-06-27 00:00:00,998.34,990.07,995.53,144911800.0
36,998.01,2000-06-28 00:00:00,999.01,990.73,995.03,157149400.0
37,991.89,2000-06-29 00:00:00,997.19,987.42,995.36,214727100.0
38,996.52,2000-06-30 00:00:00,997.52,985.1,990.4,226981000.0
39,1005.46,2000-07-03 00:00:00,1005.8,991.39,997.19,548506600.0
40,1015.9,2000-07-04 00:00:00,1022.69,1000.33,1006.79,750137800.0
41,1014.41,2000-07-05 00:00:00,1022.36,1007.29,1015.57,652620900.0
42,1010.93,2000-07-06 00:00:00,1014.9,1005.46,1013.25,305104100.0
43,1015.73,2000-07-07 00:00:00,1017.39,1005.8,1010.27,260581800.0
44,1009.94,2000-07-10 00:00:00,1015.73,1005.13,1013.58,247692900.0
45,1013.08,2000-07-11 00:00:00,1014.74,1006.79,1009.44,233682800.0
46,1017.29,2000-07-12 00:00:00,1017.95,1009.25,1013.19,154379600.0
