date,open,high,low,close,volume
 2007-01-15,1881.47,1986.54,1881.47,1986.54,38812632
 2007-01-16,2002.57,2055.02,1990.87,2055.02,48074416
 2007-01-17,2064.29,2093.89,1992.54,2035.65,58832888
 2007-01-18,2025.85,2085.4,2002.66,2085.4,50949460
 2007-01-19,2097.5,2159.65,2097.5,2159.64,57925168
 2007-01-22,2183.44,2259.03,2183.44,2258.99,63589200
 2007-01-23,2267.45,2268.69,2175.6,2261.78,61080176
 2007-01-24,2260.71,2295.26,2236.57,2283.7,51041224
 2007-01-25,2271.52,2271.52,2172.98,2174.24,48175660
 2007-01-26,2143.99,2196.28,2061.66,2186.27,44759404
 2007-01-29,2201.59,2261.24,2201.59,2260.6,45646664
 2007-01-30,2271.47,2280.73,2230.65,2255.94,50247688
 2007-01-31,2251.32,2258.7,2129.79,2142.89,49046924
 2007-02-01,2120.01,2176.2,2080.16,2165.41,42338844
 2007-02-02,2170.03,2190.96,2124.3,2127.1,38610608
 2007-02-05,2122.37,2166.09,2118.87,2152.25,30134110
 2007-02-06,2158.5,2198.63,2148.1,2198.24,30876184
 2007-02-07,2209.65,2237.94,2208.38,2237.94,38327048
 2007-02-08,2245.08,2282.19,2233.52,2278.45,39053896
 2007-02-09,2282.63,2300.81,2263.61,2287.38,37161824
 2007-02-12,2291.66,2341.07,2291.66,2341.07,36188352
 2007-02-13,2351.65,2384.16,2338.56,2384.16,38163784
 2007-02-14,2386.83,2445.76,2380.74,2435.96,44065584
 2007-02-15,2451.44,2512.55,2451.32,2512.4,51516460
 2007-02-16,2528.84,2581.56,2519.23,2541.41,54056752
 2007-02-26,2557.25,2642.11,2532.1,2642.11,48963084
 2007-02-27,2654.44,2673.53,2402.72,2405.57,72404256
 2007-02-28,2370.95,2520,2369.05,2513.53,53025028
 2007-03-01,2526.15,2526.16,2417.84,2459.51,58828140
 2007-03-02,2458.26,2515.02,2452.97,2503.68,47238104
 2007-03-05,2508.39,2548.25,2419.29,2511.92,49535976
 2007-03-06,2501.29,2524.63,2467.68,2516,33321666
 2007-03-07,2525.53,2580.6,2525.47,2580.6,37230708
 2007-03-08,2587.75,2634.88,2562.5,2634.88,43077064
 2007-03-09,2637.6,2662.33,2590.44,2638.05,48031704
 2007-03-12,2639.89,2696.87,2610.4,2696.5,51367092
 2007-03-13,2701.5,2740.46,2694.38,2727.46,53596160
 2007-03-14,2704.45,2740.53,2622.75,2708.69,56580272
 2007-03-15,2703.93,2760.84,2703.57,2760.84,51009808
 2007-03-16,2769.15,2777.41,2671.96,2710.86,55633132
 2007-03-19,2623.74,2760.09,2609.31,2751.48,47649880
 2007-03-20,2761.01,2811.15,2759,2810.71,43558984
 2007-03-21,2821.44,2859.03,2801.93,2859.01,48276756
 2007-03-22,2869.75,2899.35,2852.67,2861.15,56005696
 2007-03-23,2862.63,2901.78,2820.99,2898,52272356
 2007-03-26,2915.05,2989.05,2915.05,2989.05,56736776
 2007-03-27,2995.46,3040.35,2979.13,3039.53,56957800
 2007-03-28,3048.5,3060.19,2873.38,3004.29,67009340
 2007-03-29,3005.06,3008.22,2894.74,2894.78,55994800
 2007-03-30,2878.24,2935.24,2859.73,2926.06,35962416
 2007-04-02,2935.21,2993.63,2932.64,2993.63,37673588
 2007-04-03,3004.9,3042.46,2993.19,3042.46,46766984
 2007-04-10,3253.67,3261.53,3151.49,3261.53,63556608
 2007-04-11,3267.61,3309.98,3231.31,3309.75,67723776
 2007-04-12,3316.2,3387.41,3302.36,3387.41,64707448
 2007-04-13,3393.96,3419.99,3341.27,3358.63,67535072
 2007-04-16,3362.73,3458.07,3362.73,3458.07,60396856
 2007-04-17,3482.36,3558.22,3420.31,3558.22,77944240
 2007-04-18,3572.7,3652.72,3548.36,3649.71,71614000
 2007-04-19,3642.85,3642.85,3356.02,3435.78,78014304
 2007-04-20,3456.74,3624.82,3456.74,3614.39,62251144
 2007-04-23,3667.55,3784.08,3667.55,3782.26,73720032
 2007-04-24,3813.53,3861.57,3753.13,3821.42,81814320
 2007-04-25,3802.69,3822.41,3712.04,3805.05,64389272
 2007-04-26,3814.82,3854.05,3788.87,3853.27,55433348
 2007-04-27,3861.05,3871.4,3801.55,3845.81,58297400
 2007-04-30,3831.55,3909.04,3809.97,3903.69,65571152
 2007-05-08,3990.71,4093.01,3972.03,4091.13,73123976
 2007-05-09,4107.55,4125.42,3918.75,4099.13,83052496
 2007-05-10,4103.57,4146.58,4062.48,4128.08,68513920
 2007-05-11,4101.65,4130.9,4028.36,4109.4,60242752
 2007-05-14,4051.84,4164.81,4014.56,4133.83,58751380
 2007-05-15,4140.33,4161.52,3989.36,3998.78,64001792
 2007-05-16,3981.82,4118.24,3929.51,4118.14,55559392
 2007-05-17,4146.32,4235.05,4135.37,4221.91,62708704
 2007-05-18,4219.61,4261.46,4188.32,4235.19,59209700
 2007-05-21,4089.85,4364.16,4076.52,4364.16,71621744
 2007-05-22,4402.92,4484.53,4402.76,4459.81,80650688
 2007-05-23,4486.02,4582.45,4463.27,4582.31,74290000
 2007-05-24,4606.15,4625.92,4460.93,4571.71,83135280
 2007-05-25,4559.43,4665.98,4525.29,4649.86,71208664
 2007-05-28,4707.69,4784.43,4700.62,4761.7,81156432
 2007-05-29,4782.41,4853.88,4730.48,4853.64,75634104
 2007-05-30,4486.51,4751.04,4430.69,4456.28,80630304
 2007-05-31,4329.81,4414.61,4095.4,4267.78,74445304
 2007-06-01,4260.77,4317.3,3945.4,3960.44,66043512
 2007-06-04,3901.79,3930.34,3615.11,3618.69,45166436
 2007-06-05,3430.55,3660.51,3317.87,3659.94,70413232
 2007-06-06,3676.69,3786.77,3563.23,3736.93,67135672
 2007-06-07,3751.67,3936.83,3736.16,3936.77,64774240
 2007-06-08,3970.28,4036.88,3931.38,4002.87,64571340
 2007-06-11,4057.17,4117.25,4056.82,4104.55,61730088
 2007-06-12,4138.33,4218.61,3945.68,4218.44,73569736
 2007-06-13,4263.62,4398.61,4254.63,4372.53,77713296
 2007-06-14,4365.98,4399.52,4249.21,4311.98,68961104
 2007-06-15,4262.75,4349.16,4232.3,4316.53,52084748
 2007-06-18,4400.4,4454.78,4400.4,4439.19,57885768
 2007-06-19,4446.69,4529.28,4394.23,4529.03,61844388
 2007-06-20,4539.58,4589.22,4371,4396.22,67281000
 2007-06-21,4372.35,4452.48,4277.04,4374.49,52002464
 2007-06-22,4376.38,4386.93,4050.67,4123.21,55689412
 2007-06-25,4139.28,4184.33,3824.89,3851.94,47652136
 2007-06-26,3739.19,3930.04,3667.82,3928.7,43627272
 2007-06-27,3944.36,4031.63,3877.08,4022.31,42012260
 2007-06-28,4017.18,4026.09,3756.6,3757.98,39969480
 2007-06-29,3636.31,3718.18,3527.32,3585.49,38787816
 2007-07-02,3571.72,3658.14,3489.12,3644.79,33504868
