date,open,high,low,close,volume
 1996-07-04,2130.46,2193.26,2125.18,2192.19,6181885
 1996-07-08,2229.43,2337.84,2216.2,2336.55,0
 1996-07-09,2379.51,2438.94,2345.67,2411.22,0
 1996-07-10,2427.75,2427.95,2329.74,2385.77,0
 1996-07-11,2380.43,2381.19,2259.44,2265.94,0
 1996-07-12,2229.24,2309.26,2214.54,2308.74,0
 1996-07-15,2292.75,2295.7,2218.85,2250.73,0
 1996-07-16,2293.21,2363.68,2268.07,2355.05,0
 1996-07-17,2371.36,2373.38,2269.22,2272.39,0
 1996-07-18,2268.98,2309.09,2268.98,2300.82,0
 1996-07-19,2314.03,2348.16,2277.95,2324.86,0
 1996-07-22,2343.35,2400.63,2332.48,2372.09,0
 1996-07-23,2389.23,2420.28,2377.54,2389.65,0
 1996-07-24,2408.26,2482.76,2408.26,2454.99,0
 1996-07-25,2449.74,2456.99,2380.66,2385.54,0
 1996-07-26,2383.45,2400.68,2292.29,2311.17,0
 1996-07-29,2309.74,2326.47,2275.94,2322,0
 1996-07-30,2341.99,2352.7,2263.11,2266.55,0
 1996-07-31,2263.4,2278.17,2202.63,2205.64,0
 1996-08-01,2202.22,2238.54,2177.06,2213.39,0
 1996-08-02,2247.01,2305.58,2221.48,2251.53,0
 1996-08-05,2273.06,2279.38,2245.92,2277.88,0
 1996-08-06,2280.75,2313.99,2264.31,2310.28,0
 1996-08-07,2322.34,2340.87,2310.49,2319.26,0
 1996-08-08,2325.88,2333.81,2302.18,2316.32,0
 1996-08-09,2307.79,2313.62,2246.61,2280.19,0
 1996-08-12,2291.66,2331.51,2288.77,2301.14,0
 1996-08-13,2306.3,2311.07,2281.71,2286.04,0
 1996-08-14,2289.82,2320.67,2281.81,2298.85,0
 1996-08-15,2309.54,2340.66,2296.47,2297.36,0
 1996-08-16,2287.98,2289.22,2217.64,2257.26,0
 1996-08-19,2251.63,2251.63,2191.32,2191.93,0
 1996-08-20,2183.14,2197.21,2137.59,2139.74,0
 1996-08-21,2148.08,2210.78,2147.96,2176.51,0
 1996-08-22,2190.9,2203.11,2124.17,2126.02,0
