date,open,high,low,close,volume
 1996-05-10,153.46,153.5,148.71,152.5,4937870
 1996-05-13,153.32,158.88,152.75,158.58,5380358
 1996-05-14,159.72,162.08,156.48,157.11,5391588
 1996-05-15,156.05,164.05,155.88,164.05,5215448
 1996-05-16,166.88,170.35,165.22,167.82,12474969
 1996-05-17,167.77,172.45,166.31,172.29,7816529
 1996-05-20,176.3,182.29,171.09,173.42,13595549
 1996-05-21,171.73,173.78,159.73,159.9,8314751
 1996-05-22,158.18,163.19,157.32,163.19,6160474
 1996-05-23,164.49,165.05,154.29,155.38,8404576
 1996-05-24,154.16,159.24,152.82,156.14,5116863
 1996-05-27,157.47,157.47,153.97,154.58,3341071
 1996-05-28,154.5,156.29,153.53,155.39,2226651
 1996-05-29,155.68,160.81,155.68,160.81,4322264
 1996-05-30,161.47,161.51,156.11,158.08,6284230
 1996-05-31,157.94,165.61,157.35,164.04,8608791
 1996-06-03,165.5,170.65,161.53,168.72,13667034
 1996-06-04,168.35,171.96,167.31,171.19,10669219
 1996-06-05,172.22,173.57,170.07,172.3,8630862
 1996-06-06,171.85,175.09,165.67,173.85,6692272
 1996-06-07,173.91,179.58,172.59,176.89,8297146
 1996-06-10,177.61,178.64,175.37,176.71,6626499
 1996-06-11,177.36,179,176.78,178.7,5996075
 1996-06-12,179.82,183.44,179,183.34,7801287
 1996-06-13,185.23,190.23,184.51,190.23,9681419
 1996-06-14,191.54,192.11,185.58,186.27,9487252
 1996-06-17,185.37,187.63,183.59,183.92,7241607
 1996-06-18,185.58,190.96,185.05,190.88,6063691
 1996-06-19,191.78,192.91,188.72,192.46,7868954
 1996-06-20,192.36,196,191.95,195.57,7914924
 1996-06-21,196.81,198.11,194.48,195.59,7533488
 1996-06-24,196.36,200.89,196.09,200.89,8709504
 1996-06-25,199.5,200.94,194.46,197.37,10102639
 1996-06-26,197.01,199.49,196.45,199.27,6153457
 1996-06-27,199.87,200.83,196.93,197.88,6197181
 1996-06-28,197.17,197.49,191.54,191.67,6829751
 1996-07-01,187.43,187.43,180.37,181.19,5449090
 1996-07-02,180.08,184.78,179.87,184.56,3516720
 1996-07-03,184.62,190.34,184.62,190.26,4445254
 1996-07-04,192.85,194.88,189.64,194.88,5615035
 1996-07-05,195.8,203.23,195.23,200.25,9767050
 1996-07-08,202.2,207.58,202.2,207.58,8965543
 1996-07-09,209.67,213.37,205.46,213.37,9635463
 1996-07-10,214.78,220.03,212.49,220.02,11431351
 1996-07-11,221.44,221.76,212.42,212.42,11577703
 1996-07-12,208.96,224.39,207.48,224.37,9566648
 1996-07-15,227.19,230.32,222.84,229.35,15839356
 1996-07-16,231.31,237.37,227.49,237.18,14892487
 1996-07-17,237.79,243.77,230.04,231.05,16367925
 1996-07-18,228.77,243.85,228.77,243.85,11869805
 1996-07-19,246.36,248.31,241.61,248.26,14480547
 1996-07-22,248.84,255.74,246.33,255.66,14139904
 1996-07-23,256.32,260.52,249.3,259.27,14938869
 1996-07-24,260.9,264.07,256.93,262.64,14927281
 1996-07-25,261.51,263.97,253.35,255.16,11574915
 1996-07-26,252.85,257.36,249.41,250.95,8090189
 1996-07-29,251.67,267.02,251.67,267.02,10843569
 1996-07-30,269.93,271.53,262.27,264.09,11899481
 1996-07-31,262.83,265.64,254.44,257.43,7839799
 1996-08-01,256.62,260.11,253.41,259.8,5993167
 1996-08-02,261.21,262.37,248.82,252.01,6240049
 1996-08-05,250.98,257.66,244.86,257.66,5590399
 1996-08-06,257.3,260.59,253.93,259.98,6287879
 1996-08-07,260.57,267.43,259.69,265.98,9462660
 1996-08-08,266.77,267.92,264.81,267.05,8162858
 1996-08-09,267.14,267.65,261.55,265.56,7574603
