date,open,high,low,close,volume
 2005-01-04,858.1,858.1,846.84,848.14,1597400
 2005-01-05,847.84,862.48,847.12,860.18,2329404
 2005-01-06,860.24,860.24,850.94,853.44,2001589
 2005-01-07,852.54,865.86,851.29,856.31,2274411
 2005-01-10,855.51,863.12,853.04,863.12,1833784
 2005-01-11,863.07,865.78,858.95,865.28,2063806
 2005-01-12,862.93,864.78,857.6,864.78,2054860
 2005-01-13,864.05,868.43,862.64,867.26,2843483
 2005-01-14,866.83,870.5,857.74,857.81,2427275
 2005-01-17,851.56,851.56,836.38,838.03,2786769
 2005-01-18,837.71,845.65,832.74,845.65,2770575
 2005-01-19,845.66,845.66,838.04,840.34,2590653
 2005-01-20,837.31,837.31,824.48,827.25,2561422
 2005-01-21,825.96,842.93,813.22,842.93,3919453
 2005-01-24,854.11,857.97,849.62,857.71,4886448
 2005-01-25,856.06,856.06,843.7,851.23,3002479
 2005-01-26,848.08,849.18,841.64,843.52,2660682
 2005-01-27,842.93,842.93,830.91,831.26,2544059
 2005-01-28,831.26,831.26,816.29,818.85,2468574
 2005-01-31,816.59,816.59,796.12,797.12,2791629
 2005-02-01,794.9,802.63,790.05,791.37,2898280
 2005-02-02,791.34,833.76,791.34,833.76,4546047
 2005-02-03,833.76,837.15,819.24,819.67,4486141
 2005-02-04,819.11,835.54,817.67,834.36,3708103
 2005-02-16,839.07,847.01,837.64,841.41,3307146
 2005-02-17,841.63,844.84,835.78,844.84,2701909
 2005-02-18,845.3,845.3,834.54,834.55,3077785
 2005-02-21,834.47,849.86,834.47,849.86,3348163
 2005-02-22,850.88,872.22,849.83,872.22,6829469
 2005-02-23,872.28,883.2,868.89,879.82,6972209
 2005-02-24,879.24,884.78,875.56,884.78,6683708
 2005-02-25,885.29,893.58,884.56,884.58,7303263
 2005-02-28,883.89,886.54,877.83,881.31,5069023
 2005-03-01,881.01,882.85,873.55,880.28,4303943
 2005-03-02,880.39,885.98,868.06,868.75,5241825
 2005-03-03,867.41,872.7,860.8,872.7,3773372
 2005-03-04,873.01,873.77,866.19,867.4,3068646
 2005-03-07,868.27,871.99,866.98,871.38,3203165
 2005-03-08,871.74,890.51,871.74,890.51,5515872
 2005-03-09,892.35,894.49,885.58,891.14,6071518
 2005-03-10,890.94,890.94,865.39,868.37,5384888
 2005-03-11,866.91,874.62,863.93,873.51,4592377
 2005-03-14,872.72,880.48,859.29,872.72,5970939
 2005-03-15,872.69,872.69,858.65,859.99,4958674
 2005-03-16,858.68,858.68,845.44,850.06,4190447
 2005-03-17,848.77,849.39,838.27,838.32,3941440
 2005-03-18,837.45,839.84,819.22,822.83,3629564
 2005-03-21,821.32,824.53,814.95,824.12,3047046
 2005-03-22,823.52,823.52,799.62,804.22,4357416
 2005-03-23,802.96,816.66,796.89,804.98,3956700
 2005-03-24,803.65,811.07,795.59,811.07,3068231
 2005-03-25,811.05,811.65,805.34,808.17,2974663
 2005-03-28,806.84,806.84,791.35,802.41,2882618
 2005-03-29,802.13,807.97,796.68,796.84,2739871
 2005-03-30,795.45,795.45,775.82,775.9,3345910
 2005-03-31,773.85,779.93,768.49,779.93,2855887
 2005-04-01,779.45,814.19,771.78,807.48,4928056
 2005-04-04,800.23,800.23,790.9,791.91,3745474
 2005-04-05,790.55,793.07,783.85,785.14,2972707
 2005-04-06,785.14,799.84,779.02,799.12,4862645
 2005-04-07,800.02,820.89,799.43,811.11,6821250
 2005-04-08,810.86,828.19,807.63,827.84,5868249
 2005-04-11,828.04,833.47,822.27,825.15,6328559
 2005-04-12,824.23,824.23,807.92,808.14,4260144
 2005-04-13,812.49,828.42,812.49,827.6,6126453
 2005-04-14,829.14,829.14,816.16,817.14,4924098
 2005-04-15,814.24,814.24,801.02,801.94,4682493
 2005-04-18,800.09,800.09,787.89,791.97,3439750
 2005-04-19,791.41,795.21,786.7,794.28,3196560
 2005-04-20,793.95,793.95,776.98,779.62,3644435
 2005-04-21,778.7,782.45,765.44,768.56,4351122
 2005-04-22,767.65,771.11,755.77,761.14,4460432
 2005-04-25,752.74,753.82,740.04,748.07,4301153
 2005-04-26,746.1,761.53,743.53,759.39,4352744
 2005-04-27,763.3,763.3,749.31,749.62,3927019
 2005-04-28,747.36,766.81,740.46,765.83,5243307
 2005-04-29,765.9,765.9,754.72,756.55,4050091
 2005-05-09,757.08,757.08,734.61,735.02,2951919
 2005-05-10,732.49,736.92,715.61,736.92,3408303
 2005-05-11,736.37,740.14,730.64,731.64,3015025
 2005-05-12,730.88,730.88,719.42,724.79,3296825
 2005-05-13,723.53,731.93,717.87,728.38,3364432
 2005-05-16,727.44,727.44,718.2,721.94,2703259
 2005-05-17,721.26,732.01,719.07,730.61,2963587
 2005-05-18,730.24,735.14,723.26,733.73,2739874
 2005-05-19,733.92,735.85,724.89,733.59,2906497
 2005-05-20,733.32,737.16,730.37,730.87,2700360
 2005-05-23,728.34,728.34,709.66,710.67,2837074
 2005-05-24,708.87,722.9,708.87,721.25,2828813
 2005-05-25,721.11,726.84,717.53,720.88,3240331
 2005-05-26,720.13,723.12,708.14,710.6,3124189
 2005-05-27,709.38,713.6,703.09,703.94,2671483
 2005-05-30,702.28,710.17,698.88,709.34,2415732
 2005-05-31,709.29,711.65,705.31,707.64,2505700
 2005-06-01,707.02,707.02,690.47,692.53,2800563
 2005-06-02,691.47,691.47,675.91,679.58,3009558
 2005-06-03,677.96,681.33,669.26,678.44,2818740
 2005-06-06,677.52,689.28,665.97,689.28,3116890
 2005-06-07,691.12,704.83,688.4,691.02,4697290
 2005-06-08,694.51,747.83,694.51,745.7,11235623
 2005-06-09,745.58,760.67,741.19,752.34,11326785
 2005-06-10,752.11,752.11,733.75,736.38,7339797
 2005-06-13,736.44,740.82,725.21,738.08,5343499
 2005-06-14,739.5,743.7,724.06,724.35,5237130
 2005-06-15,722.32,722.32,705.36,706.81,4195675
 2005-06-16,706.21,714.55,699.06,714.55,3961542
 2005-06-17,716.48,716.48,710.29,712.58,4049365
 2005-06-20,711.91,733.57,703.05,733.57,5641120
 2005-06-21,734.07,734.43,724.76,726.98,4626266
 2005-06-22,726.04,728.93,721.08,728.51,3518618
 2005-06-23,728.21,730.82,721.3,721.38,3515268
 2005-06-24,720.39,725.19,716.86,725.19,3018111
 2005-06-27,729.04,746.6,729.04,743.53,6963339
 2005-06-28,741.44,741.44,730.24,731.64,4379394
 2005-06-29,731,733.31,728.01,728.64,3875643
 2005-06-30,727.7,727.7,710.47,710.71,4142046
 2005-07-01,709.39,709.39,686.41,686.6,4249374
 2005-07-04,684,684,663.82,676.49,3791965
 2005-07-05,675.71,677.44,669.02,672.34,2712075
 2005-07-06,672.82,677.24,667.75,670.98,2837875
 2005-07-07,670.86,675.39,668.27,674.16,2673867
 2005-07-08,673.18,673.18,655.11,655.33,3149823
 2005-07-11,659.28,671.05,647.46,647.67,3168089
 2005-07-12,645.95,668.5,643.29,668.5,4413648
 2005-07-13,667.59,667.59,659.88,661.2,3674883
 2005-07-14,660.64,667.03,659.38,661.76,3345971
 2005-07-15,661.51,664.12,645.75,647.98,3404495
 2005-07-18,646.64,646.64,632.08,633.09,3111747
 2005-07-19,632.13,639.19,629.4,636.38,2641919
 2005-07-20,635.48,642.36,632.97,639.31,2845002
 2005-07-21,638.37,638.6,629.08,636.19,3262872
 2005-07-22,636.19,657.58,636.19,652.97,6353443
 2005-07-25,652.77,654.62,649.57,653.34,4227953
 2005-07-26,653.35,669.75,653.35,669.37,6332404
 2005-07-27,669.4,682.31,666.32,682.31,6335689
 2005-07-28,682.37,685.58,676.79,678.99,6984604
 2005-07-29,678.43,679.85,672.93,677.78,4801447
 2005-08-01,678.26,684.73,678.21,683.94,4471611
 2005-08-02,684.36,695.22,681.36,695.22,6002249
 2005-08-03,696.55,708.78,695.83,700.01,9182882
 2005-08-04,698.15,698.15,691.93,694.42,5596541
 2005-08-05,694.93,714.09,694.93,714.09,8571948
 2005-08-08,717.59,728.09,716.79,724.21,10218522
 2005-08-09,724.95,733.65,718.67,733.65,8595488
 2005-08-10,734.02,741.3,726.62,741.3,9552597
 2005-08-11,741.65,750.21,739.13,750.21,10938164
 2005-08-12,750.7,754.35,734.03,736.89,11771585
 2005-08-15,735.91,757.07,735.91,757.07,8439791
 2005-08-16,759.45,764.93,753.74,758.72,10767534
 2005-08-17,757.95,771.66,745.36,771.66,11171087
 2005-08-18,772.36,780.12,741.42,741.73,14399225
 2005-08-19,738.51,745.88,728.99,742.28,9455819
 2005-08-22,741.05,749.98,738.7,749.98,6432344
 2005-08-23,749.72,749.72,734.99,740.14,6322770
 2005-08-24,740.35,748.27,740.35,748.27,6026462
 2005-08-25,748.61,756.35,744.72,756.35,7146888
 2005-08-26,757.54,758.33,750.63,757.38,7188094
 2005-08-29,756.35,756.35,745.69,749.16,7029656
 2005-08-30,748.4,750.59,745.79,746.6,5872378
 2005-08-31,746.49,761.28,743.12,761.28,6991634
 2005-09-01,762.4,778.2,760.4,778.15,10697382
 2005-09-02,778.98,783.21,775.36,783.03,9509786
 2005-09-05,785.21,795.08,784.83,795.08,8595457
 2005-09-06,796.39,802.18,776.36,778.16,11679770
 2005-09-07,776.19,798.37,775.45,798.37,9609360
 2005-09-08,799.88,802.87,791.12,798.86,9661801
 2005-09-09,798.83,801.05,789.26,791.23,6745799
 2005-09-12,790.35,795.38,788.34,795.38,5208733
 2005-09-13,794.79,812.69,794.79,812.69,8716944
 2005-09-14,812.25,822.43,811.98,822.43,11411651
 2005-09-15,820.51,827.1,818.68,825.58,9566741
 2005-09-16,824.38,825.1,818.65,823.57,7449117
 2005-09-19,823.35,834.37,823.27,834.37,8448169
 2005-09-20,833.51,834.3,820.02,826.73,11018145
 2005-09-21,821.77,823.3,811.91,812.26,9855028
 2005-09-22,810.91,810.91,779.34,789.42,9379794
 2005-09-23,791.12,791.12,781.36,781.84,6256856
 2005-09-26,780.71,787.35,776.24,787.35,4942231
 2005-09-27,788.04,790.17,774.09,775.25,6339046
 2005-09-28,773.85,780.38,770.85,772.53,5267442
 2005-09-29,772.47,789.08,772.47,789.08,5966476
 2005-09-30,789.59,790.28,785.56,788.01,5003135
 2005-10-10,788.19,788.19,778.49,779.06,4204509
 2005-10-11,778.79,794.76,775.65,794.76,5125951
 2005-10-12,795.45,807.62,792.22,804.72,6878350
